,ROW ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Postal Code,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Shipping Cost,Profit,Order Priority
0,1,93cbb2fa-e6ef-48bd-a943-6daaf4ce7114,2022-07-08,2023-07-31,Next Day,5296094c-b388-414a-80d4-0263379f6507,Cynthia James,Home Office,West Kimville,Missouri,Suriname,70578,APAC,North,0088f73a-38c4-4911-93f6-b7428eb7f57a,Furniture,Phones,century,380.7947176588889,7,0.15889517350680193,6.444283790437404,25.061475164085834,High
1,2,ce9d947e-e04d-4076-96a5-45f46258ee33,2023-02-07,2022-08-15,Standard,f0f32df8-c4f5-45a1-90f9-a066170674fd,Victoria Sawyer,Home Office,Abigailland,Virginia,Cocos (Keeling) Islands,80398,EMEA,East,4b51ebf9-519b-4572-8712-bb1406334415,Office Supplies,Storage,appear,951.207163345817,1,0.0725556872701355,12.225831950811205,30.683473926726407,Medium
2,3,3ea6b1d5-3b3b-42e4-8244-6dc416cff635,2021-07-26,2021-03-13,Standard,69cfcf3c-ed24-403a-8b4e-e4193842f7c9,Laura Gomez,Home Office,North Randall,Oregon,Namibia,49739,APAC,South,0ce773cc-f170-4fa6-8d37-f70092f2c38e,Furniture,Chairs,expect,734.6740023932911,4,0.027930830341769762,1.5795047488419391,49.050514200067326,Low
3,4,f8302e45-048e-453e-b314-cd263455fede,2020-09-05,2022-08-20,Next Day,3e4595bd-58d0-4dc8-950f-e64f82d8df1d,Gregg Nguyen,Consumer,Jessicamouth,Utah,Netherlands Antilles,96072,APAC,East,d958c968-1c1a-4764-b692-7e9225f37574,Furniture,Storage,really,602.6718993550662,4,0.269164727385998,1.709615586235074,-8.738232308857349,Low
4,5,f55e7cd8-6609-46b1-9704-c9d5793fd094,2023-03-04,2022-04-25,Express,a1d34427-0755-4584-88dd-eca10840bfc9,Eric Salazar,Home Office,Goldenstad,Delaware,Denmark,38654,North America,East,cbadad20-d102-46d7-88d9-ac044bc5609e,Electronics,Chairs,later,164.45845403801215,5,0.2701254171489991,16.629410652533508,-12.798191420721686,Low
5,6,fa46ac7d-6eae-46da-a864-9e613fcf685c,2022-08-13,2021-07-03,Standard,e90a0204-050c-4da2-b1e0-3d359dd09d98,Alyssa Mccarthy,Corporate,East Jonathan,North Carolina,Egypt,92417,APAC,West,6f1d60e3-93c8-43d0-bab0-0c75960c2d5b,Electronics,Accessories,world,164.43457513284062,7,0.18993043718198038,7.843622186813995,27.641296074199687,Medium
6,7,c7bece88-2416-43a1-abf9-37de5e8246fd,2020-11-14,2022-02-21,Standard,b8eeb493-ef46-4865-90ad-b85690e9d416,Anthony Hernandez,Consumer,Brittanyview,Nebraska,Mauritius,70553,EMEA,East,18db6cbc-f13c-45ab-b5f5-f30af3271198,Furniture,Accessories,interview,67.50277604651747,7,0.1017089373146102,3.414149740385811,-15.919645974698213,Medium
7,8,a2b6f69d-6bc7-45f5-a752-628f020dc9d6,2020-02-16,2023-07-12,Standard,a708eecd-aa81-4e91-aa94-fb085cc49463,Brandon Morales MD,Consumer,West Ericshire,Mississippi,Lao People's Democratic Republic,78444,EMEA,South,d547e14f-2a58-4895-a4e4-406b40a959ba,Electronics,Phones,west,867.5143843171858,4,0.10476287238379826,10.922621941041283,43.07573256035647,Medium
8,9,b6e819f6-3402-45a0-a18b-adc42a310bc6,2021-04-25,2022-12-15,Next Day,f3759fe6-ea09-4078-be49-598a1de69d03,Melody Kim,Consumer,Emilytown,Michigan,North Macedonia,56292,North America,North,36eb8c20-e113-47eb-98c6-0076b1e73613,Electronics,Phones,no,605.1038616257767,7,0.2177867036610718,15.629877508873605,35.84127518430118,Medium
9,10,2aa21f22-ce57-45e6-b56c-72bffb874d47,2021-02-11,2023-04-24,Standard,f6cc3f0d-5731-4ebf-8940-9df2f708f7eb,Lynn Wagner,Corporate,Port Kimberly,Florida,Iceland,67019,EMEA,South,b3fd438b-1c82-42e7-bcdd-1f3165e5566d,Electronics,Phones,just,710.9918520180851,3,0.26913307798577313,5.10059952244002,-7.100597262498162,Low
10,11,12ae8df4-e1c5-48d2-a1a5-64416092a6a5,2020-08-26,2022-10-26,Next Day,6bee7f59-56e5-4c21-8f41-31683e8b85f9,Megan Williams,Corporate,Johnbury,Florida,Kyrgyz Republic,03085,LATAM,East,36526b71-0253-4483-b377-1b83c58f1906,Furniture,Chairs,company,30.378649352844423,6,0.26612592727953516,12.834919040561005,25.087106779149735,High
